id,predict_label,prob_intrinsic,prob_extrinsic,prob_no
b709059b-b3b6-4ac2-bb88-2c794e2cc219,extrinsic,0.065887995,0.92718333,0.006928604
7dc35ef5-c4b7-4538-ab90-627b9cbd896e,extrinsic,0.048194733,0.92105997,0.030745361
cfdfa010-f61c-4845-91c9-23f79be2b88b,extrinsic,0.054468893,0.93788654,0.0076445527
31b33c97-2f59-4e72-8707-f47de204d7f9,intrinsic,0.79758346,0.18927902,0.013137486
a2c83a00-e8b7-4236-86ce-5e0104df074a,intrinsic,0.9327516,0.050995834,0.016252588
c5972f72-948c-4907-a0d9-5a5077d263eb,no,0.1832457,0.038361683,0.7783926
c9cb5df4-6c6a-44db-977f-b5a9d59926f0,extrinsic,0.3980055,0.5849689,0.01702555
87ae8fca-aa1d-4ba4-bebe-fed2c811dd29,no,0.045841232,0.019981967,0.9341768
faa318fc-0679-486c-98fd-54823a2374f9,intrinsic,0.9344197,0.050411236,0.015169045
1d0a69e2-146d-492a-8c4a-3f77b7395c6a,extrinsic,0.29054627,0.67519486,0.034258824
67e63111-c12d-4c63-be4e-d84f9f532a6b,extrinsic,0.13000229,0.8603549,0.009642807
147fa13b-ed91-442b-aa56-1efa8a3e4484,extrinsic,0.27196813,0.36471137,0.36332053
f3c5798c-82bf-4718-824e-ecbdc5d5ea1f,extrinsic,0.032988943,0.95054716,0.016464017
74bff9f9-90ba-4a2b-9e94-062f6727b1b4,no,0.07641505,0.023759624,0.89982533
2ef86070-adc5-4d5b-8f37-b8e8e0711737,intrinsic,0.9019479,0.0808096,0.017242564
52b16a7d-6c31-4ef0-910b-b3c9524d2aa0,extrinsic,0.051024888,0.9329063,0.01606877
0cbaa260-29c7-46ba-8762-c19f795c9715,intrinsic,0.922869,0.043926895,0.03320407
be1605fb-5ddb-4620-a483-e73270ccc3ab,no,0.16797979,0.02718027,0.80483997
a97690f9-2109-450d-b52e-fd66538ac80e,intrinsic,0.8834278,0.10207667,0.014495545
53eda0a3-8b61-423b-9e97-8f9dc7899da5,extrinsic,0.26889962,0.72031903,0.0107813375
c984c8c1-0505-499f-a418-030a972f87b4,extrinsic,0.12955634,0.836527,0.033916675
911e2881-3297-451b-b9f7-a3842688e811,intrinsic,0.5380115,0.44874546,0.013243054
d95f6c1c-bf53-4d9b-8245-ceffa88f5366,intrinsic,0.8191186,0.14301309,0.037868183
3587ff61-22e7-4248-b697-e3b86bafb324,no,0.26369828,0.061529864,0.6747718
28474ed7-0f88-4b49-9948-d9280f01cdf2,no,0.04267338,0.029358089,0.9279685
1d482b01-5f17-40dc-ae68-2496571cc900,extrinsic,0.12991764,0.8557231,0.014359283
d4df3d68-bbf7-4271-a4e9-a3cca9dd18b5,intrinsic,0.8130227,0.12597227,0.06100501
6817a7a4-438b-4f6c-9afb-bfdd7640b938,no,0.038889457,0.044954214,0.91615635
9f7e65e5-dc55-421e-8b2b-d5ab62cba1c6,intrinsic,0.6250725,0.35472,0.02020752
95617e9b-4aad-4e0f-9837-8f3b2f19aab9,no,0.06708687,0.061810687,0.8711024
6a2a73e3-a709-497b-9b21-e43974c8ed11,extrinsic,0.10754221,0.8810956,0.01136219
0838092e-cc53-46f2-b70c-698ec63adb92,no,0.10525139,0.039588697,0.8551599
ae7ea16b-f316-4c1d-b0d0-7f2a1465cdae,intrinsic,0.76941097,0.17770001,0.052889038
6753d640-2495-4e56-b7ba-7a0cba741d42,extrinsic,0.08287848,0.8998287,0.01729285
fba48cb8-665c-4d8b-9cd3-affa84bd973a,intrinsic,0.77651745,0.09488294,0.12859961
dd3de1a6-21f0-43fa-a50b-55ba853e1f2d,intrinsic,0.8012745,0.13747318,0.06125232
c42af041-9f49-411a-8b6f-0bf4ceec1cd3,intrinsic,0.57133305,0.41596273,0.012704263
24f0ade9-de2a-44de-bdd4-c0e8ee9e768f,intrinsic,0.67753714,0.033421844,0.28904098
6cdb1a88-d3b1-416d-a3ab-89a52f6cd2cd,intrinsic,0.9380349,0.04866585,0.013299273
833ef7fb-8da2-4e02-824a-9401668f1c23,intrinsic,0.91851133,0.061591644,0.019897057
7575b8cf-4deb-44c9-9329-071da25d919b,extrinsic,0.048638925,0.9296146,0.021746553
719b4a68-6b6a-4c55-9e4f-9b91ac42c80f,no,0.028795172,0.05818524,0.91301966
a1886042-c759-4987-8ca1-6b0bcd0e7cf3,extrinsic,0.05822692,0.92393285,0.017840303
73276dc7-d9d9-4c7d-9490-f16944ab5600,intrinsic,0.88995093,0.041238215,0.06881085
0527270b-eb9f-4f9c-969e-990d4fedf740,no,0.28066573,0.23575541,0.48357877
f05c0dec-152e-45b5-bd67-4877d24f8f6b,extrinsic,0.08637342,0.90420926,0.009417342
b95e1113-c4de-4a71-840e-ca737e60222d,extrinsic,0.3272682,0.66059816,0.012133625
65473e52-7738-405c-a3b3-fbc5896e03bd,intrinsic,0.45829746,0.42462426,0.11707829
93895c19-e978-4d68-9f62-7dc9dd0c8793,intrinsic,0.88612646,0.09692833,0.016945267
f3659a06-b537-4fd0-95e1-d5cc2f8bde4f,intrinsic,0.9082166,0.075709656,0.016073816
9c463d20-ed7f-4b76-baa5-12c214987315,intrinsic,0.6882599,0.050313197,0.26142696
dd205f51-9579-496f-86cb-c48c6921ad95,intrinsic,0.94373465,0.024955079,0.03131025
6ba0f481-14ce-4268-be62-2ee1912f313a,no,0.031429477,0.065021254,0.90354925
9380ad73-a84c-44ec-9f3f-a8081c6558d3,no,0.05077878,0.0686307,0.8805905
256bdd5a-fb4a-43da-8c0d-06c0bc27871b,extrinsic,0.040008977,0.94460773,0.015383253
8e49b0bb-92fd-4794-8172-dc200f89ad1d,intrinsic,0.6670695,0.32238746,0.010543032
1f28d882-0bac-4f12-a5d0-10425958259c,intrinsic,0.94121385,0.03835329,0.020432886
32ca8a1c-2a40-4bf0-87ca-3706dfe69ba7,intrinsic,0.9458473,0.036956888,0.01719582
0ce11603-74e6-420b-be2a-73ad36a04cf3,no,0.027938334,0.033486404,0.9385752
03a5b309-cc61-4bd0-a4b7-f0727f834cd9,intrinsic,0.9439975,0.026712498,0.02929001
6dd5e6db-7bc2-4681-b25c-fbfd4c299ef3,extrinsic,0.06202774,0.9299821,0.00799003
57362930-a2b1-4881-a67e-0de662709881,intrinsic,0.510486,0.14933409,0.34017992
f85980d1-9e99-42e9-a078-d2d1f51a84a8,extrinsic,0.057535294,0.9340655,0.008399213
9ad500c2-252f-4cf9-a724-9a5461de8e21,no,0.05745371,0.05921257,0.88333374
83bde43e-6ab5-4440-8694-b36e763ab138,intrinsic,0.894394,0.06211087,0.043495122
6e4fc174-49f9-47d5-9259-6fde9d5d3c18,extrinsic,0.068109095,0.9144354,0.017455492
288bafa4-5e05-4c33-8441-f8ba187661ce,intrinsic,0.8677929,0.1106088,0.021598266
8896fcbf-9580-426c-a48e-799819e884e8,no,0.038489617,0.045294534,0.9162158
d2b0536a-5175-4152-8fda-955f3bc0c1cf,intrinsic,0.776261,0.10695144,0.1167876
4bf428bf-f017-4e60-a58d-69f6ab1db1ef,extrinsic,0.1090757,0.8817996,0.009124706
8407795d-fc74-45dc-b951-d75b9f0cb91a,no,0.03569134,0.02828594,0.93602276
60f3cd4d-8f5f-462e-bdc8-103b143ccf6d,no,0.1759295,0.22065319,0.60341734
ff4d20c6-3283-4254-add8-253627510e66,extrinsic,0.05584704,0.9314558,0.012697175
b27a3cb5-dd27-4bac-b41f-ee81715e0d51,intrinsic,0.8572796,0.03785725,0.104863144
d110d07b-1870-4435-adc9-ca265ec03ac4,intrinsic,0.66925627,0.31123194,0.019511763
df45d856-d981-4991-bd75-1e8cc9947cc4,intrinsic,0.892922,0.07833728,0.028740766
089856d3-082c-4846-998e-b35f19a97876,extrinsic,0.080087,0.9057341,0.014178831
65864497-7f4e-4c5b-a9fd-b8f3cdd71f28,intrinsic,0.8558292,0.08654267,0.057628196
7b06f09b-ed14-4192-913e-6d6a1bb8f2db,no,0.19405685,0.2080772,0.59786594
b55a4411-fc0f-48df-9803-5b7600701314,intrinsic,0.92745215,0.05577134,0.016776556
8fe37da7-6997-482b-beb0-704212e970c6,intrinsic,0.5660422,0.41788602,0.016071774
