id,predict_label,prob_intrinsic,prob_extrinsic,prob_no
ef35e7a1-766f-4455-b349-09084a1f56ba,no,0.063478984,0.02312038,0.9134007
85aac4aa-e53c-4d01-bdcf-e8b27a2cd9bc,intrinsic,0.8472987,0.13943547,0.013265848
cd056e1b-51f6-4adf-939c-e742645437bf,no,0.037233263,0.025556529,0.93721026
6cc80aa4-44db-4366-8cb6-16453aa8ecbf,intrinsic,0.87129825,0.115778856,0.01292286
948849cb-0c83-4dc1-b5ae-aaa585a8d528,no,0.37504315,0.030148072,0.5948088
ac4bb2b6-5a6c-41e9-af82-059cd05c757f,extrinsic,0.16794808,0.8046001,0.027451806
70edcfef-a1ff-4e0d-a7ed-06903f78bddb,intrinsic,0.9344122,0.03421365,0.031374197
cb9bb593-123e-44a6-8470-684e1f6f5a91,no,0.026966704,0.015986303,0.957047
f1f98140-1a32-4364-9ecf-8613b21d6301,no,0.078699596,0.046593543,0.8747069
681ad3ef-40d8-432d-a785-326687b3e0a2,extrinsic,0.103035584,0.8497681,0.047196258
2414777b-ee45-485a-93dd-ad836fe7b2e5,no,0.030562628,0.038817577,0.93061984
38512c11-3053-41b1-85e6-c71d30bfb052,intrinsic,0.6612458,0.3033671,0.03538707
c3f7b2c5-2bfe-43ff-b174-fa964c4a10f7,extrinsic,0.06540684,0.92272407,0.011869131
b92d4a02-6d28-45f3-bd74-ad791ca812ad,intrinsic,0.500333,0.42217752,0.07748946
3ab8ad4b-08ba-47c1-a528-c7853c6fc1e3,extrinsic,0.07372272,0.9142061,0.012071106
972d6eb5-d0d6-412e-a2f1-9684d6043aa4,no,0.06090467,0.020709567,0.91838574
e3eaf887-bdae-409c-9eca-73a0c312632a,intrinsic,0.8609992,0.10307404,0.03592675
37f0e8cd-c00d-4b30-9c6e-0fc1931afc61,intrinsic,0.5421249,0.044304125,0.4135709
73314787-848f-423e-af19-78d0e86938fb,extrinsic,0.32864234,0.65853834,0.012819275
37c97670-bf9b-4ddd-b450-a9150bf00328,extrinsic,0.33978972,0.54319066,0.117019616
a11233d9-5ffe-4694-a21b-938b8243e8fc,intrinsic,0.5687378,0.17252469,0.25873747
b15b9bb9-84b5-41d8-beac-43376d807823,extrinsic,0.061990883,0.909137,0.028872121
5dea7ec2-2a8c-425f-b299-dbf0a8dca8a6,extrinsic,0.14845651,0.83707833,0.014465209
240f514e-a5ad-441f-b443-315ad09cf1d7,no,0.28912917,0.07864718,0.63222367
ebcfbb4c-8d88-4b7a-99f9-8fb033acd1ef,extrinsic,0.053157907,0.93630666,0.010535443
c1ae2455-05c8-47e3-bfa1-1f1a66ec7e9d,intrinsic,0.8470172,0.031008458,0.121974304
50fbc7a0-124c-4eeb-b5e4-78339314eef1,no,0.059338655,0.031639464,0.9090219
7923d1cd-8ec1-4860-9009-89cf48b15beb,extrinsic,0.055811707,0.92977256,0.014415796
c8f77844-d0c5-44f7-8926-646fa8097703,intrinsic,0.9105229,0.033121906,0.056355156
4a30c070-ac21-4432-94ae-0ac778f37982,extrinsic,0.039185755,0.9418579,0.018956386
54cd2cb9-ff1a-4dbf-928c-babf065f8664,no,0.17693625,0.069538675,0.7535251
bb4ff75a-461b-4843-ab56-ee000781fcd3,no,0.09178251,0.070931315,0.8372862
a7a79883-f042-44a5-9a3a-9181caa5113c,intrinsic,0.82471895,0.07782416,0.09745694
db621a38-fd23-4a98-97d1-5f7e37d5bcd5,extrinsic,0.096456006,0.89298624,0.010557812
