id,predict_label,prob_intrinsic,prob_extrinsic,prob_no
b709059b-b3b6-4ac2-bb88-2c794e2cc219,extrinsic,0.070593804,0.9174444,0.011961839
7dc35ef5-c4b7-4538-ab90-627b9cbd896e,extrinsic,0.10287629,0.826341,0.07078271
cfdfa010-f61c-4845-91c9-23f79be2b88b,extrinsic,0.042758014,0.9386252,0.018616771
31b33c97-2f59-4e72-8707-f47de204d7f9,extrinsic,0.31326187,0.65712255,0.029615514
a2c83a00-e8b7-4236-86ce-5e0104df074a,intrinsic,0.86072344,0.11271983,0.026556795
c5972f72-948c-4907-a0d9-5a5077d263eb,intrinsic,0.7342079,0.1772018,0.088590294
c9cb5df4-6c6a-44db-977f-b5a9d59926f0,extrinsic,0.15697026,0.6300638,0.21296594
87ae8fca-aa1d-4ba4-bebe-fed2c811dd29,no,0.041515343,0.019130351,0.93935436
faa318fc-0679-486c-98fd-54823a2374f9,intrinsic,0.9766375,0.020920178,0.0024423876
1d0a69e2-146d-492a-8c4a-3f77b7395c6a,extrinsic,0.18755034,0.77946794,0.032981794
67e63111-c12d-4c63-be4e-d84f9f532a6b,extrinsic,0.43115336,0.55231947,0.016527133
147fa13b-ed91-442b-aa56-1efa8a3e4484,extrinsic,0.037010904,0.808157,0.15483205
f3c5798c-82bf-4718-824e-ecbdc5d5ea1f,extrinsic,0.048556052,0.9312739,0.020170042
74bff9f9-90ba-4a2b-9e94-062f6727b1b4,no,0.020332633,0.006525927,0.9731415
2ef86070-adc5-4d5b-8f37-b8e8e0711737,extrinsic,0.05741089,0.9219811,0.020608004
52b16a7d-6c31-4ef0-910b-b3c9524d2aa0,extrinsic,0.090421714,0.8999873,0.009591027
0cbaa260-29c7-46ba-8762-c19f795c9715,intrinsic,0.97039133,0.0218572,0.007751441
be1605fb-5ddb-4620-a483-e73270ccc3ab,no,0.15355855,0.015448699,0.8309927
a97690f9-2109-450d-b52e-fd66538ac80e,intrinsic,0.7826657,0.20024951,0.017084735
53eda0a3-8b61-423b-9e97-8f9dc7899da5,extrinsic,0.042290915,0.94988054,0.007828444
c984c8c1-0505-499f-a418-030a972f87b4,extrinsic,0.068976134,0.90097886,0.030044908
911e2881-3297-451b-b9f7-a3842688e811,intrinsic,0.83156943,0.14747551,0.020955013
d95f6c1c-bf53-4d9b-8245-ceffa88f5366,intrinsic,0.37100205,0.3375071,0.29149085
3587ff61-22e7-4248-b697-e3b86bafb324,intrinsic,0.50900555,0.47129682,0.019697664
28474ed7-0f88-4b49-9948-d9280f01cdf2,no,0.030972643,0.016327063,0.9527003
1d482b01-5f17-40dc-ae68-2496571cc900,extrinsic,0.0845932,0.9058984,0.009508398
d4df3d68-bbf7-4271-a4e9-a3cca9dd18b5,intrinsic,0.8684751,0.12112448,0.010400424
6817a7a4-438b-4f6c-9afb-bfdd7640b938,no,0.09522083,0.054145325,0.8506338
9f7e65e5-dc55-421e-8b2b-d5ab62cba1c6,intrinsic,0.9360533,0.05654604,0.007400781
95617e9b-4aad-4e0f-9837-8f3b2f19aab9,no,0.062545404,0.048413046,0.8890415
6a2a73e3-a709-497b-9b21-e43974c8ed11,extrinsic,0.034236282,0.94969815,0.016065577
0838092e-cc53-46f2-b70c-698ec63adb92,no,0.07028981,0.062001035,0.86770916
ae7ea16b-f316-4c1d-b0d0-7f2a1465cdae,intrinsic,0.8256299,0.15909772,0.015272311
6753d640-2495-4e56-b7ba-7a0cba741d42,extrinsic,0.052434128,0.94013494,0.0074309115
fba48cb8-665c-4d8b-9cd3-affa84bd973a,intrinsic,0.8894158,0.092611015,0.017973164
dd3de1a6-21f0-43fa-a50b-55ba853e1f2d,no,0.055395328,0.14832564,0.796279
c42af041-9f49-411a-8b6f-0bf4ceec1cd3,intrinsic,0.702085,0.23418896,0.06372598
24f0ade9-de2a-44de-bdd4-c0e8ee9e768f,intrinsic,0.9670243,0.028234838,0.0047407625
6cdb1a88-d3b1-416d-a3ab-89a52f6cd2cd,intrinsic,0.88487643,0.105895035,0.009228624
833ef7fb-8da2-4e02-824a-9401668f1c23,intrinsic,0.86734915,0.11669732,0.015953526
7575b8cf-4deb-44c9-9329-071da25d919b,extrinsic,0.40558505,0.5705821,0.02383277
719b4a68-6b6a-4c55-9e4f-9b91ac42c80f,no,0.050082367,0.030687101,0.9192305
a1886042-c759-4987-8ca1-6b0bcd0e7cf3,extrinsic,0.0684762,0.9253546,0.0061690956
73276dc7-d9d9-4c7d-9490-f16944ab5600,intrinsic,0.97933424,0.016979346,0.003686399
0527270b-eb9f-4f9c-969e-990d4fedf740,no,0.15016791,0.0806096,0.7692225
f05c0dec-152e-45b5-bd67-4877d24f8f6b,extrinsic,0.15286231,0.8275286,0.019609096
b95e1113-c4de-4a71-840e-ca737e60222d,intrinsic,0.75030726,0.239991,0.009701783
65473e52-7738-405c-a3b3-fbc5896e03bd,intrinsic,0.43252644,0.31225288,0.25522062
93895c19-e978-4d68-9f62-7dc9dd0c8793,intrinsic,0.9389214,0.056949325,0.004129255
f3659a06-b537-4fd0-95e1-d5cc2f8bde4f,intrinsic,0.921302,0.073508926,0.00518898
9c463d20-ed7f-4b76-baa5-12c214987315,no,0.103464745,0.02589311,0.8706421
dd205f51-9579-496f-86cb-c48c6921ad95,intrinsic,0.9882559,0.008841772,0.002902199
6ba0f481-14ce-4268-be62-2ee1912f313a,no,0.03620011,0.021521853,0.9422781
9380ad73-a84c-44ec-9f3f-a8081c6558d3,extrinsic,0.27008232,0.39451957,0.33539814
256bdd5a-fb4a-43da-8c0d-06c0bc27871b,extrinsic,0.37346658,0.620447,0.0060863937
8e49b0bb-92fd-4794-8172-dc200f89ad1d,intrinsic,0.7616191,0.2320108,0.0063701235
1f28d882-0bac-4f12-a5d0-10425958259c,intrinsic,0.9818233,0.016370494,0.0018062566
32ca8a1c-2a40-4bf0-87ca-3706dfe69ba7,intrinsic,0.63813096,0.3376664,0.024202622
0ce11603-74e6-420b-be2a-73ad36a04cf3,no,0.024211172,0.014361825,0.961427
03a5b309-cc61-4bd0-a4b7-f0727f834cd9,intrinsic,0.9866709,0.009871828,0.003457249
6dd5e6db-7bc2-4681-b25c-fbfd4c299ef3,extrinsic,0.044880066,0.944515,0.010604949
57362930-a2b1-4881-a67e-0de662709881,extrinsic,0.101389654,0.8388525,0.059757832
f85980d1-9e99-42e9-a078-d2d1f51a84a8,extrinsic,0.051681813,0.9382988,0.010019422
9ad500c2-252f-4cf9-a724-9a5461de8e21,no,0.12686314,0.0731686,0.79996824
83bde43e-6ab5-4440-8694-b36e763ab138,intrinsic,0.9374502,0.05499579,0.007554082
6e4fc174-49f9-47d5-9259-6fde9d5d3c18,extrinsic,0.03973812,0.9526624,0.007599475
288bafa4-5e05-4c33-8441-f8ba187661ce,intrinsic,0.93955237,0.050892904,0.009554746
8896fcbf-9580-426c-a48e-799819e884e8,no,0.032926697,0.028491575,0.9385817
d2b0536a-5175-4152-8fda-955f3bc0c1cf,no,0.049365886,0.039605055,0.91102904
