id,predict_label,prob_intrinsic,prob_extrinsic,prob_no
ef35e7a1-766f-4455-b349-09084a1f56ba,no,0.25837594,0.060404073,0.68121994
85aac4aa-e53c-4d01-bdcf-e8b27a2cd9bc,intrinsic,0.9342898,0.06255748,0.0031527136
cd056e1b-51f6-4adf-939c-e742645437bf,no,0.10655572,0.065290526,0.8281538
6cc80aa4-44db-4366-8cb6-16453aa8ecbf,intrinsic,0.97072417,0.02720348,0.0020722647
948849cb-0c83-4dc1-b5ae-aaa585a8d528,intrinsic,0.92938393,0.0609085,0.009707676
ac4bb2b6-5a6c-41e9-af82-059cd05c757f,extrinsic,0.06830887,0.9243997,0.007291468
70edcfef-a1ff-4e0d-a7ed-06903f78bddb,intrinsic,0.98630595,0.011656221,0.0020378754
cb9bb593-123e-44a6-8470-684e1f6f5a91,no,0.025538402,0.010664526,0.96379703
f1f98140-1a32-4364-9ecf-8613b21d6301,no,0.033335526,0.019959264,0.9467052
681ad3ef-40d8-432d-a785-326687b3e0a2,extrinsic,0.022731742,0.96795917,0.009309015
2414777b-ee45-485a-93dd-ad836fe7b2e5,no,0.20268537,0.050483547,0.74683106
38512c11-3053-41b1-85e6-c71d30bfb052,intrinsic,0.7627343,0.21854256,0.018723221
c3f7b2c5-2bfe-43ff-b174-fa964c4a10f7,extrinsic,0.16252428,0.82404065,0.0134351
b92d4a02-6d28-45f3-bd74-ad791ca812ad,extrinsic,0.25543448,0.7220867,0.022478769
3ab8ad4b-08ba-47c1-a528-c7853c6fc1e3,extrinsic,0.08797034,0.8982935,0.01373606
972d6eb5-d0d6-412e-a2f1-9684d6043aa4,no,0.32511947,0.1181687,0.55671185
e3eaf887-bdae-409c-9eca-73a0c312632a,intrinsic,0.83978766,0.13022779,0.029984469
37f0e8cd-c00d-4b30-9c6e-0fc1931afc61,no,0.16818994,0.06376443,0.7680456
73314787-848f-423e-af19-78d0e86938fb,intrinsic,0.82322663,0.17065434,0.0061189667
37c97670-bf9b-4ddd-b450-a9150bf00328,extrinsic,0.07312306,0.5453308,0.38154614
a11233d9-5ffe-4694-a21b-938b8243e8fc,extrinsic,0.07851416,0.6607735,0.2607124
b15b9bb9-84b5-41d8-beac-43376d807823,extrinsic,0.035937592,0.9556658,0.00839658
5dea7ec2-2a8c-425f-b299-dbf0a8dca8a6,extrinsic,0.090052254,0.9018734,0.008074363
240f514e-a5ad-441f-b443-315ad09cf1d7,intrinsic,0.95075357,0.042506076,0.006740322
ebcfbb4c-8d88-4b7a-99f9-8fb033acd1ef,extrinsic,0.04469084,0.9438784,0.011430692
c1ae2455-05c8-47e3-bfa1-1f1a66ec7e9d,intrinsic,0.96385044,0.03322596,0.002923647
50fbc7a0-124c-4eeb-b5e4-78339314eef1,no,0.100582846,0.07653649,0.8228807
7923d1cd-8ec1-4860-9009-89cf48b15beb,extrinsic,0.17854421,0.7955274,0.025928447
c8f77844-d0c5-44f7-8926-646fa8097703,intrinsic,0.81488943,0.17697087,0.008139698
4a30c070-ac21-4432-94ae-0ac778f37982,extrinsic,0.07899857,0.9097487,0.011252762
54cd2cb9-ff1a-4dbf-928c-babf065f8664,no,0.15228952,0.054583978,0.7931265
bb4ff75a-461b-4843-ab56-ee000781fcd3,no,0.06428482,0.26618344,0.66953176
a7a79883-f042-44a5-9a3a-9181caa5113c,intrinsic,0.8799155,0.105681375,0.014403243
db621a38-fd23-4a98-97d1-5f7e37d5bcd5,extrinsic,0.06132278,0.9326065,0.0060707796
a7e11050-1f7a-4d13-adc1-20247a0bcef6,no,0.15491597,0.09058157,0.7545025
74726714-41f2-4948-9cc9-b01731d663de,no,0.09122771,0.03677598,0.8719963
56576b55-67f3-40a5-9eaa-52ed855c7b41,no,0.115230426,0.44201717,0.44275248
e599238e-0fba-4225-92b9-9823fb4b98b4,intrinsic,0.94580185,0.0511588,0.0030393952
ca7ddabb-c4ce-48d3-a653-8fd31258f532,intrinsic,0.9775325,0.020536372,0.0019311823
16ad0c8c-218a-4b77-975f-81be21d61460,no,0.13820115,0.06308156,0.79871726
89b9889c-e06e-41bf-ade5-61c9701fee37,no,0.01682959,0.006734048,0.9764364
3cf0e6bb-0bdd-40a6-b91e-cdcd92f0f10d,no,0.026910393,0.009245651,0.963844
63b53a04-1934-4077-bfce-5da9c5efc24e,intrinsic,0.96189123,0.034145746,0.0039630816
1f648a7f-d656-462b-84f3-0dcc7af15fab,extrinsic,0.26995993,0.7170345,0.013005585
7ad6b02d-ec91-4369-a9de-e05eb24cea58,no,0.07289802,0.25915357,0.6679484
b85a0468-b43e-423d-89f8-24dbbacb26d5,intrinsic,0.9625828,0.034761846,0.0026552996
fba58b12-8e87-4f32-bfcc-a544623d67e3,intrinsic,0.9244778,0.067294605,0.008227539
22d6b6da-30a4-49dc-9215-d296bf605c9f,extrinsic,0.16576014,0.8229686,0.011271239
345f8a38-a671-4ba0-8002-69ec6c48ffb9,intrinsic,0.5887087,0.31207252,0.099218816
ae9cb661-d85d-4953-a7c8-760584b0f272,extrinsic,0.02559926,0.97033226,0.004068465
0468ded3-907e-4fba-9098-f706f468e733,no,0.03303444,0.03178791,0.9351776
6da9f1e6-8073-40f3-956f-01697939c5bc,intrinsic,0.95084363,0.03907909,0.010077165
f6486f4f-dcfe-43ef-a4cc-c64c8bf7921d,no,0.061004724,0.017889157,0.9211061
e7baa793-36ce-4ed0-a108-e28b0113ea3b,no,0.141876,0.027033508,0.83109045
018cc4f2-02fa-4fc2-9c60-f6d603113679,extrinsic,0.30044594,0.5881776,0.11137641
59218c91-885b-4f94-9bb9-2a551ca60703,extrinsic,0.028933022,0.96517986,0.0058870898
b1c4bef5-135b-4d8e-9298-fa7a3c697305,extrinsic,0.23959452,0.6412704,0.11913505
1721ccf6-7fe9-4858-8bc0-93354e0218cf,no,0.1852226,0.21753505,0.59724236
0cbac74a-5294-4489-822f-3f777ce410b4,extrinsic,0.05153232,0.92654014,0.02192749
5ac9a6de-72a8-4488-9fba-f1fe54509dae,intrinsic,0.9867574,0.011353327,0.0018892433
84063fa1-9169-458d-9442-2d959ca8cde2,extrinsic,0.033137836,0.95502543,0.011836776
036c42e2-b52a-4af1-9c60-85299f014993,no,0.053696107,0.09740134,0.8489025
7c4edd19-c52d-4f9f-9da7-dd44d444a0b3,no,0.03972351,0.018244335,0.94203216
