id,predict_label,prob_intrinsic,prob_extrinsic,prob_no
b709059b-b3b6-4ac2-bb88-2c794e2cc219,extrinsic,0.12660702,0.8641836,0.009209408
7dc35ef5-c4b7-4538-ab90-627b9cbd896e,extrinsic,0.10674054,0.68387514,0.20938434
cfdfa010-f61c-4845-91c9-23f79be2b88b,extrinsic,0.046822403,0.9406628,0.012514767
31b33c97-2f59-4e72-8707-f47de204d7f9,extrinsic,0.31165105,0.6686765,0.019672489
a2c83a00-e8b7-4236-86ce-5e0104df074a,intrinsic,0.9240969,0.07105151,0.0048515885
c5972f72-948c-4907-a0d9-5a5077d263eb,intrinsic,0.48606083,0.26605648,0.24788268
c9cb5df4-6c6a-44db-977f-b5a9d59926f0,extrinsic,0.19870162,0.7289506,0.07234772
87ae8fca-aa1d-4ba4-bebe-fed2c811dd29,no,0.013357138,0.008877596,0.97776526
faa318fc-0679-486c-98fd-54823a2374f9,intrinsic,0.9807788,0.017328266,0.001892946
1d0a69e2-146d-492a-8c4a-3f77b7395c6a,extrinsic,0.25788397,0.701354,0.040762022
67e63111-c12d-4c63-be4e-d84f9f532a6b,extrinsic,0.36596617,0.6209436,0.013090225
147fa13b-ed91-442b-aa56-1efa8a3e4484,extrinsic,0.042413354,0.9126384,0.04494824
f3c5798c-82bf-4718-824e-ecbdc5d5ea1f,extrinsic,0.053607464,0.92278343,0.02360917
74bff9f9-90ba-4a2b-9e94-062f6727b1b4,no,0.0073931115,0.0054470077,0.98715985
2ef86070-adc5-4d5b-8f37-b8e8e0711737,extrinsic,0.04368003,0.9333208,0.022999173
52b16a7d-6c31-4ef0-910b-b3c9524d2aa0,extrinsic,0.21139541,0.7687978,0.019806774
0cbaa260-29c7-46ba-8762-c19f795c9715,intrinsic,0.9371645,0.045544412,0.017291153
be1605fb-5ddb-4620-a483-e73270ccc3ab,intrinsic,0.73601365,0.030151876,0.23383449
a97690f9-2109-450d-b52e-fd66538ac80e,intrinsic,0.7782661,0.21143636,0.01029756
53eda0a3-8b61-423b-9e97-8f9dc7899da5,extrinsic,0.06593992,0.924203,0.009857164
c984c8c1-0505-499f-a418-030a972f87b4,extrinsic,0.0725747,0.84632397,0.08110138
911e2881-3297-451b-b9f7-a3842688e811,intrinsic,0.6548869,0.33088967,0.0142234275
d95f6c1c-bf53-4d9b-8245-ceffa88f5366,extrinsic,0.35038507,0.5231345,0.12648045
3587ff61-22e7-4248-b697-e3b86bafb324,extrinsic,0.4311011,0.5422237,0.02667524
28474ed7-0f88-4b49-9948-d9280f01cdf2,no,0.01326856,0.009029017,0.9777025
1d482b01-5f17-40dc-ae68-2496571cc900,extrinsic,0.19702941,0.7847861,0.018184382
