id,predict_label,prob_extrinsic,prob_no,prob_intrinsic
b709059b-b3b6-4ac2-bb88-2c794e2cc219,extrinsic,0.95810926,0.0074104615,0.034480322
7dc35ef5-c4b7-4538-ab90-627b9cbd896e,extrinsic,0.8921157,0.065017,0.042867295
cfdfa010-f61c-4845-91c9-23f79be2b88b,extrinsic,0.9454852,0.019199675,0.03531514
31b33c97-2f59-4e72-8707-f47de204d7f9,extrinsic,0.64204633,0.0051932745,0.35276043
a2c83a00-e8b7-4236-86ce-5e0104df074a,intrinsic,0.017223876,0.0016395155,0.9811366
c5972f72-948c-4907-a0d9-5a5077d263eb,no,0.006352901,0.9811582,0.0124889705
c9cb5df4-6c6a-44db-977f-b5a9d59926f0,extrinsic,0.97468215,0.00791941,0.01739847
87ae8fca-aa1d-4ba4-bebe-fed2c811dd29,no,0.007936226,0.97391385,0.018149976
faa318fc-0679-486c-98fd-54823a2374f9,intrinsic,0.014921849,0.0020503127,0.9830278
1d0a69e2-146d-492a-8c4a-3f77b7395c6a,extrinsic,0.88030744,0.013562305,0.10613024
67e63111-c12d-4c63-be4e-d84f9f532a6b,extrinsic,0.6213785,0.0072508035,0.37137067
147fa13b-ed91-442b-aa56-1efa8a3e4484,no,0.07943352,0.90122426,0.019342253
f3c5798c-82bf-4718-824e-ecbdc5d5ea1f,extrinsic,0.96803576,0.004908317,0.027056009
74bff9f9-90ba-4a2b-9e94-062f6727b1b4,no,0.0071181008,0.98347247,0.009409461
2ef86070-adc5-4d5b-8f37-b8e8e0711737,no,0.17914537,0.7801169,0.040737722
52b16a7d-6c31-4ef0-910b-b3c9524d2aa0,extrinsic,0.9488194,0.015335286,0.035845358
0cbaa260-29c7-46ba-8762-c19f795c9715,intrinsic,0.013719838,0.0044200895,0.9818601
be1605fb-5ddb-4620-a483-e73270ccc3ab,no,0.085703716,0.8665916,0.04770469
a97690f9-2109-450d-b52e-fd66538ac80e,intrinsic,0.06373491,0.002366689,0.9338984
53eda0a3-8b61-423b-9e97-8f9dc7899da5,extrinsic,0.94543433,0.006750547,0.047815144
c984c8c1-0505-499f-a418-030a972f87b4,extrinsic,0.96790767,0.0043362663,0.027756048
911e2881-3297-451b-b9f7-a3842688e811,intrinsic,0.016756149,0.0010101021,0.9822337
d95f6c1c-bf53-4d9b-8245-ceffa88f5366,intrinsic,0.022497086,0.007437508,0.9700655
3587ff61-22e7-4248-b697-e3b86bafb324,no,0.008604882,0.96405226,0.027342867
28474ed7-0f88-4b49-9948-d9280f01cdf2,no,0.011686882,0.972485,0.015828125
1d482b01-5f17-40dc-ae68-2496571cc900,extrinsic,0.9132869,0.007470199,0.07924297
d4df3d68-bbf7-4271-a4e9-a3cca9dd18b5,intrinsic,0.3031572,0.0065263915,0.69031644
6817a7a4-438b-4f6c-9afb-bfdd7640b938,no,0.0077274092,0.97718084,0.015091762
9f7e65e5-dc55-421e-8b2b-d5ab62cba1c6,intrinsic,0.053640816,0.0024606034,0.9438986
95617e9b-4aad-4e0f-9837-8f3b2f19aab9,no,0.035794612,0.5615886,0.40261686
6a2a73e3-a709-497b-9b21-e43974c8ed11,extrinsic,0.9671957,0.0051662386,0.027638173
0838092e-cc53-46f2-b70c-698ec63adb92,no,0.011679336,0.9747012,0.013619506
ae7ea16b-f316-4c1d-b0d0-7f2a1465cdae,intrinsic,0.01474805,0.0015909714,0.983661
6753d640-2495-4e56-b7ba-7a0cba741d42,extrinsic,0.94887865,0.00783215,0.043289147
fba48cb8-665c-4d8b-9cd3-affa84bd973a,intrinsic,0.14354816,0.213316,0.64313585
dd3de1a6-21f0-43fa-a50b-55ba853e1f2d,no,0.05503034,0.9333649,0.01160463
c42af041-9f49-411a-8b6f-0bf4ceec1cd3,extrinsic,0.54417926,0.023920203,0.4319005
24f0ade9-de2a-44de-bdd4-c0e8ee9e768f,intrinsic,0.0070329937,0.0010338969,0.99193317
6cdb1a88-d3b1-416d-a3ab-89a52f6cd2cd,intrinsic,0.043632608,0.0032753134,0.95309204
833ef7fb-8da2-4e02-824a-9401668f1c23,intrinsic,0.027212406,0.0027463655,0.9700412
7575b8cf-4deb-44c9-9329-071da25d919b,extrinsic,0.93868434,0.006601679,0.054714005
719b4a68-6b6a-4c55-9e4f-9b91ac42c80f,no,0.014291889,0.9740146,0.011693465
a1886042-c759-4987-8ca1-6b0bcd0e7cf3,extrinsic,0.96180725,0.012298768,0.025893968
73276dc7-d9d9-4c7d-9490-f16944ab5600,intrinsic,0.018995916,0.0061697243,0.9748344
0527270b-eb9f-4f9c-969e-990d4fedf740,intrinsic,0.028199121,0.08619585,0.885605
f05c0dec-152e-45b5-bd67-4877d24f8f6b,extrinsic,0.9408475,0.011547872,0.04760459
b95e1113-c4de-4a71-840e-ca737e60222d,extrinsic,0.50946033,0.005887389,0.48465228
65473e52-7738-405c-a3b3-fbc5896e03bd,intrinsic,0.04414069,0.0023022315,0.95355713
93895c19-e978-4d68-9f62-7dc9dd0c8793,intrinsic,0.11236391,0.012291359,0.87534475
f3659a06-b537-4fd0-95e1-d5cc2f8bde4f,extrinsic,0.53425103,0.0118441535,0.4539048
9c463d20-ed7f-4b76-baa5-12c214987315,intrinsic,0.047384765,0.10642589,0.8461894
dd205f51-9579-496f-86cb-c48c6921ad95,intrinsic,0.010613527,0.0011341562,0.98825234
6ba0f481-14ce-4268-be62-2ee1912f313a,no,0.041951735,0.9509068,0.007141489
9380ad73-a84c-44ec-9f3f-a8081c6558d3,no,0.1248901,0.8427357,0.032374214
256bdd5a-fb4a-43da-8c0d-06c0bc27871b,extrinsic,0.78066,0.006184092,0.21315596
8e49b0bb-92fd-4794-8172-dc200f89ad1d,intrinsic,0.15503779,0.0047014356,0.84026074
1f28d882-0bac-4f12-a5d0-10425958259c,intrinsic,0.022595406,0.0016660736,0.9757386
32ca8a1c-2a40-4bf0-87ca-3706dfe69ba7,intrinsic,0.032781735,0.002217038,0.9650012
0ce11603-74e6-420b-be2a-73ad36a04cf3,no,0.013167616,0.9751432,0.011689098
03a5b309-cc61-4bd0-a4b7-f0727f834cd9,intrinsic,0.014301016,0.0013204191,0.9843785
6dd5e6db-7bc2-4681-b25c-fbfd4c299ef3,extrinsic,0.89461803,0.006350256,0.0990317
57362930-a2b1-4881-a67e-0de662709881,extrinsic,0.87139523,0.07092618,0.05767857
f85980d1-9e99-42e9-a078-d2d1f51a84a8,extrinsic,0.9506243,0.006318738,0.04305693
9ad500c2-252f-4cf9-a724-9a5461de8e21,no,0.018974992,0.94012094,0.04090406
83bde43e-6ab5-4440-8694-b36e763ab138,intrinsic,0.011242564,0.0019376441,0.9868198
6e4fc174-49f9-47d5-9259-6fde9d5d3c18,extrinsic,0.90963584,0.023484902,0.066879265
288bafa4-5e05-4c33-8441-f8ba187661ce,intrinsic,0.05852687,0.023077434,0.9183957
8896fcbf-9580-426c-a48e-799819e884e8,no,0.015979232,0.9708519,0.013168864
d2b0536a-5175-4152-8fda-955f3bc0c1cf,intrinsic,0.11666274,0.20580322,0.677534
4bf428bf-f017-4e60-a58d-69f6ab1db1ef,extrinsic,0.9051585,0.006660327,0.088181205
8407795d-fc74-45dc-b951-d75b9f0cb91a,no,0.01608508,0.9683127,0.015602235
60f3cd4d-8f5f-462e-bdc8-103b143ccf6d,no,0.017859645,0.96275437,0.019386074
ff4d20c6-3283-4254-add8-253627510e66,extrinsic,0.95487726,0.0129834805,0.0321393
b27a3cb5-dd27-4bac-b41f-ee81715e0d51,intrinsic,0.041528538,0.02090642,0.937565
d110d07b-1870-4435-adc9-ca265ec03ac4,extrinsic,0.9479575,0.010214749,0.041827682
df45d856-d981-4991-bd75-1e8cc9947cc4,intrinsic,0.015087742,0.0020412866,0.98287094
089856d3-082c-4846-998e-b35f19a97876,intrinsic,0.2515924,0.012402955,0.7360046
65864497-7f4e-4c5b-a9fd-b8f3cdd71f28,intrinsic,0.042515498,0.12775134,0.82973313
7b06f09b-ed14-4192-913e-6d6a1bb8f2db,extrinsic,0.8562095,0.10746411,0.036326505
b55a4411-fc0f-48df-9803-5b7600701314,intrinsic,0.0068223802,0.0033422445,0.9898353
8fe37da7-6997-482b-beb0-704212e970c6,intrinsic,0.25539953,0.007914387,0.7366861
af7d20c7-0d77-4207-a3f2-4ec7ee61680b,extrinsic,0.8714686,0.004565557,0.12396585
4b978a58-d835-4550-ab3d-f1583cea4ca4,no,0.0052517634,0.9912976,0.0034506738
1629a816-e3ba-45bc-b0ba-90b9de853bfe,no,0.01909285,0.9668651,0.014041995
1975efcd-c7fc-4375-98b5-aee3e177da4c,extrinsic,0.913535,0.012845434,0.07361961
90f39fe9-8961-47c8-83a6-61663a8166f1,intrinsic,0.2856212,0.004613761,0.709765
9f9837fe-a9a6-48b8-ac88-7576d11bcfc5,intrinsic,0.018389374,0.0017004252,0.97991025
d2a133cc-6604-4d9c-8a6a-7a03a06871d7,no,0.018385509,0.965845,0.015769474
b7ebf9e3-9dea-4933-a140-e7a6527c1df8,no,0.006725013,0.98065794,0.01261705
84e92bc9-fef5-4393-9368-0f9082abd4cd,intrinsic,0.03665764,0.0040040608,0.95933837
ccfc5fa2-05ed-4682-bec3-f34c54ab7dd7,no,0.032010198,0.70493835,0.26305148
f833b079-b02e-43a5-942e-7cd82701e826,extrinsic,0.85458654,0.012983404,0.13243002
cc59c1cf-858c-45f7-ac83-501e3e4d32a0,extrinsic,0.7950359,0.00605885,0.19890527
a13e7165-b9e2-496e-944f-624cb8b22840,no,0.05724724,0.90340364,0.03934901
f3640a0a-5db5-41ea-9b54-35c9ccdc1c48,extrinsic,0.95510095,0.0043241805,0.040574875
76e1958a-19e9-494d-82da-ee4ed2965fe3,no,0.028338466,0.9421808,0.02948066
bef3a421-7c31-422c-89b2-53379ab1af10,intrinsic,0.046161037,0.0027466856,0.95109224
a3a2f092-d3ba-46f1-bef0-0d43d3fc00fd,extrinsic,0.96328294,0.010997764,0.025719337
e15a2c06-fb77-498e-89ed-d4cda4eaf418,intrinsic,0.06588377,0.0029523517,0.9311639
c02d7d3b-5f50-4568-aad4-0bbfe710f482,no,0.15120429,0.7930412,0.05575452
d8ad115e-8777-4a25-b84a-40d434d2ae71,intrinsic,0.27176264,0.0070273634,0.72121
32e7a3fa-1818-4228-a11d-89de3191be12,extrinsic,0.961194,0.026807375,0.011998676
d907e74f-8c5f-42fa-9cfc-5f5f79dde00a,intrinsic,0.02188065,0.427686,0.55043334
fd301105-2147-471e-ae04-a18a07ee0804,no,0.004899057,0.98284507,0.012255804
2f8d2653-6fad-4996-891b-b805c08a2f4e,extrinsic,0.94285965,0.006267058,0.050873343
1b195dde-72ae-489b-a21a-525eaf468913,no,0.007909497,0.9799722,0.012118306
5f600ddf-c105-42d7-8688-52fbe91b2c67,no,0.0059788898,0.9874271,0.0065940055
1b5eee76-c3e3-4960-9e87-09c53d139a7a,no,0.004405549,0.9840469,0.011547487
2771f5fe-ab85-4f6e-a8bc-9e7fe3a05bee,intrinsic,0.08675828,0.002020603,0.91122115
d42d7476-5270-4125-89b1-7fb7ea45dc8c,intrinsic,0.019640848,0.0014040526,0.97895503
e8d6bc64-4b57-43d9-90c5-045f9fc66b7b,no,0.024493992,0.7882184,0.18728766
c460e3e1-e7e4-476c-b8e6-400e0d3cccc1,no,0.0093255555,0.95604855,0.034625854
0136221d-c3ce-4986-8502-486fe86406fe,intrinsic,0.18176362,0.0045269537,0.81370944
20756147-7473-469e-a22c-3a384dfe48e9,intrinsic,0.030583655,0.0018415215,0.9675749
e6207295-8b56-4430-973b-b586334e3271,extrinsic,0.5452441,0.0043173884,0.45043847
e18b2e6e-239e-42a6-a3c6-0862b7a0bf66,no,0.003015375,0.9914454,0.0055392147
3a282882-ccee-4136-9488-164e36271480,no,0.008876561,0.9821832,0.00894013
e0dd1ce1-fb5d-4d8c-9a15-7fafa8e41dd0,intrinsic,0.068045385,0.003671523,0.92828304
fdbd59a5-f0df-4a76-b1d9-28a55363b01c,intrinsic,0.013710073,0.0011757081,0.9851142
fbdc72df-ca19-40a8-b5a8-fba45cae9081,extrinsic,0.80156463,0.017846145,0.1805892
